spatial_node_id,police_station,address,total_historical_impact,H_Score
98.0,Byatarayanapura,"Mysore Road, AR Compound, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",57.95,1.0
73.0,Halasuru Gate,"Nrupatunga Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",45.105000000000004,0.7783433994823123
18.0,Sadashivanagar,"Sankey Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",30.93,0.5337359792924935
144.0,Jalahalli,"Outer Ring Road, CQAE Staff Quarters, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",28.17,0.48610871440897324
95.0,Kamakshipalya,"Magadi Main Road, BM Shankarappa Industrial Estate, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",25.875,0.44650560828300256
38.0,Yeshwanthpura,"Outer Ring Road, RNS Shriniketan, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",24.200000000000003,0.41760138050043144
96.0,Yeshwanthpura,"CV Raman Road, Samvidhana Circle, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",23.310000000000002,0.4022433132010354
135.0,Sadashivanagar,"Bellary Road, Enayathulla Mehkri Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",21.92,0.37825711820534946
204.0,K.R. Pura,"MBT Road, Zero Tolerance Junction, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",20.295,0.35021570319240725
0.0,Peenya,"Mumbai Bengaluru Highway, Vivekanand Nagar, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",19.875,0.3429680759275237
89.0,Madiwala,"Madiwala Underpass, Madiwala Junction, Madivala, Bengaluru, Karnataka. Pin-560068 (India)",18.87,0.32562553925798104
267.0,Halasuru Gate,"Palace Road, Gandhi Nagar 1, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",17.535,0.302588438308887
228.0,K.R. Pura,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",15.355,0.264969801553063
248.0,Chamarajpet,"Bhashyam Main Road, Sangolli Rayanna Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",13.015,0.22459016393442624
218.0,Whitefield,"Varthur Main Road, KSRTC Travel House Junction, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",12.875,0.22217428817946505
137.0,Yelahanka,"Bellary Road, Concorde Mayfair, KHB Colony, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",12.73,0.21967213114754097
70.0,Ashok Nagar,"Museum Road, Shoolay Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",12.685,0.2188955996548749
143.0,Wilson Garden,"Hosur Road, Arepanahalli, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",11.45,0.1975841242450388
82.0,Kodigehalli,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",10.825000000000001,0.18679896462467646
